ÐòºÅ,Âö²«
0,128
1,126
2,125
3,124
4,123
5,122
6,120
7,119
8,117
9,116
10,114
11,112
12,109
13,106
14,104
15,101
16,99
17,97
18,96
19,95
20,94
21,94
22,94
23,94
24,96
25,97
26,99
27,101
28,103
29,105
30,107
31,109
32,111
33,113
34,114
35,116
36,117
37,118
38,118
39,118
40,117
41,116
42,115
43,113
44,111
45,109
46,106
47,104
48,101
49,99
50,96
51,93
52,91
53,88
54,86
55,82
56,80
57,77
58,74
59,72
60,69
61,67
62,65
63,63
64,61
65,59
66,57
67,56
68,54
69,53
70,51
71,50
72,49
73,48
74,48
75,47
76,46
77,45
78,45
79,45
80,44
81,45
82,44
83,44
84,44
85,44
86,44
87,45
88,45
89,45
90,45
91,45
92,45
93,45
94,45
95,45
96,45
97,46
98,45
99,45
100,46
101,45
102,45
103,45
104,45
105,45
106,45
107,45
108,45
109,45
110,45
111,45
112,45
113,45
114,45
115,45
116,46
117,47
118,50
119,53
120,59
121,66
122,76
123,89
124,105
125,123
126,143
127,162
128,180
129,195
130,209
131,219
132,228
133,233
134,237
135,237
136,235
137,231
138,227
139,221
140,214
141,208
142,200
143,193
144,187
145,179
146,174
147,167
148,162
149,157
150,152
151,147
152,143
153,139
154,135
155,132
156,129
157,127
158,124
159,122
160,120
161,118
162,117
163,116
164,114
165,113
166,111
167,109
168,107
169,104
170,101
171,98
172,95
173,93
174,90
175,88
176,86
177,84
178,84
179,83
180,84
181,85
182,86
183,88
184,90
185,92
186,94
187,96
188,99
189,101
190,103
191,104
192,106
193,108
194,109
195,110
196,110
197,110
198,110
199,109
200,108
201,106
202,105
203,103
204,101
205,98
206,96
207,93
208,91
209,88
210,86
211,83
212,81
213,78
214,75
215,73
216,71
217,68
218,66
219,63
220,61
221,59
222,57
223,55
224,53
225,51
226,50
227,48
228,48
229,46
230,45
231,44
232,43
233,42
234,41
235,40
236,40
237,39
238,40
239,39
240,39
241,39
242,38
243,39
244,38
245,39
246,38
247,39
248,39
249,39
250,39
251,39
252,40
253,40
254,41
255,41
256,41
257,42
258,42
259,43
260,42
261,42
262,42
263,42
264,43
265,43
266,43
267,43
268,43
269,43
270,43
271,43
272,42
273,42
274,42
275,42
276,42
277,42
278,42
279,42
280,42
281,42
282,42
283,42
284,43
285,44
286,46
287,49
288,54
289,61
290,71
291,84
292,101
293,120
294,141
295,162
296,182
297,200
298,216
299,228
300,238
301,245
302,248
303,249
304,247
305,244
306,239
307,233
308,226
309,220
310,213
311,206
312,200
313,194
314,188
315,182
316,177
317,172
318,167
319,163
320,159
321,155
322,152
323,149
324,146
325,144
326,142
327,140
328,138
329,137
330,135
331,135
332,134
333,133
334,132
335,131
336,130
337,128
338,127
339,124
340,122
341,119
342,116
343,114
344,111
345,109
346,107
347,105
348,104
349,103
350,102
351,102
352,102
353,103
354,103
355,104
356,105
357,107
358,108
359,109
360,110
361,111
362,112
363,113
364,113
365,114
366,114
367,113
368,113
369,112
370,110
371,109
372,107
373,106
374,104
375,102
376,100
377,98
378,96
379,94
380,92
381,89
382,87
383,84
384,82
385,80
386,78
387,76
388,74
389,72
390,70
391,68
392,66
393,64
394,62
395,60
396,58
397,57
398,55
399,54
400,53
401,51
402,51
403,49
404,48
405,47
406,46
407,46
408,44
409,44
410,43
411,43
412,42
413,41
414,41
415,40
416,40
417,40
418,40
419,40
420,40
421,39
422,40
423,39
424,40
425,39
426,40
427,40
428,40
429,40
430,40
431,40
432,40
433,40
434,39
435,39
436,39
437,39
438,39
439,39
440,39
441,39
442,38
443,38
444,38
445,38
446,37
447,38
448,37
449,38
450,37
451,37
452,37
453,38
454,39
455,40
456,43
457,46
458,52
459,60
460,72
461,86
462,104
463,123
464,143
465,164
466,182
467,199
468,213
469,224
470,232
471,238
472,240
473,240
474,238
475,234
476,228
477,222
478,216
479,209
480,203
481,196
482,190
483,184
484,178
485,173
486,168
487,163
488,159
489,155
490,151
491,148
492,145
493,142
494,139
495,137
496,135
497,133
498,131
499,131
500,129
501,128
502,128
503,127
504,126
505,125
506,123
507,122
508,120
509,118
510,115
511,112
512,110
513,107
514,105
515,102
516,101
517,99
518,98
519,97
520,96
521,97
522,96
523,97
524,97
525,98
526,99
527,100
528,102
529,103
530,104
531,105
532,105
533,106
534,106
535,106
536,107
537,106
538,106
539,105
540,104
541,102
542,101
543,99
544,97
545,96
546,94
547,91
548,89
549,87
550,84
551,82
552,80
553,77
554,76
555,73
556,71
557,69
558,66
559,64
560,62
561,60
562,58
563,56
564,55
565,53
566,51
567,49
568,48
569,47
570,45
571,44
572,43
573,42
574,41
575,40
576,39
577,38
578,37
579,36
580,36
581,35
582,35
583,34
584,34
585,34
586,34
587,34
588,34
589,34
590,34
591,34
592,34
593,35
594,35
595,35
596,35
597,35
598,36
599,35
600,36
601,36
602,36
603,36
604,36
605,36
606,36
607,36
608,36
609,36
610,35
611,35
612,35
613,35
614,35
615,35
616,35
617,34
618,34
619,34
620,34
621,34
622,35
623,34
624,35
625,35
626,36
627,37
628,39
629,43
630,47
631,55
632,65
633,79
634,95
635,114
636,135
637,155
638,174
639,191
640,206
641,218
642,228
643,234
644,238
645,238
646,237
647,233
648,228
649,222
650,215
651,208
652,201
653,194
654,187
655,181
656,175
657,170
658,164
659,159
660,155
661,151
662,147
663,143
664,140
665,137
666,134
667,131
668,129
669,128
670,126
671,125
672,124
673,123
674,122
675,121
676,120
677,118
678,117
679,115
680,114
681,111
682,109
683,106
684,103
685,101
686,98
687,97
688,95
689,94
690,93
691,93
692,93
693,93
694,94
695,95
696,96
697,98
698,100
699,102
700,104
701,106
702,107
703,109
704,110
705,112
706,112
707,113
708,113
709,112
710,112
711,111
712,110
713,108
714,107
715,105
716,103
717,100
718,98
719,95
720,93
721,90
722,89
723,86
724,84
725,81
726,79
727,77
728,75
729,72
730,70
731,68
732,66
733,65
734,63
735,62
736,61
737,59
738,58
739,56
740,55
741,54
742,53
743,52
744,51
745,50
746,49
747,49
748,48
749,47
750,46
751,46
752,45
753,45
754,45
755,44
756,44
757,43
758,43
759,43
760,43
761,43
762,42
763,42
764,42
765,42
766,42
767,41
768,41
769,41
770,41
771,40
772,40
773,39
774,39
775,38
776,38
777,37
778,37
779,36
780,37
781,36
782,36
783,36
784,36
785,36
786,36
787,36
788,38
789,39
790,42
791,47
792,54
793,64
794,76
795,92
796,110
797,129
798,148
799,166
800,183
801,198
802,210
803,220
804,227
805,231
806,232
807,231
808,227
809,223
810,217
811,211
812,205
813,198
814,192
815,186
816,180
817,175
818,170
819,164
820,160
821,155
822,151
823,147
824,143
825,140
826,136
827,134
828,132
829,129
830,128
831,125
832,124
833,123
834,122
835,121
836,119
837,118
838,116
839,115
840,113
841,110
842,108
843,105
844,102
845,99
846,96
847,94
848,92
849,91
850,90
851,90
852,89
853,91
854,91
855,93
856,93
857,96
858,97
859,99
860,100
861,102
862,104
863,105
864,107
865,108
866,108
867,109
868,109
869,109
870,109
871,108
872,107
873,106
874,104
875,103
876,101
877,98
878,96
879,94
880,92
881,89
882,88
883,85
884,83
885,80
886,78
887,76
888,74
889,72
890,70
891,68
892,66
893,64
894,62
895,60
896,59
897,58
898,56
899,55
900,53
901,52
902,51
903,50
904,48
905,48
906,46
907,46
908,45
909,44
910,43
911,43
912,41
913,41
914,40
915,41
916,40
917,40
918,39
919,38
920,38
921,38
922,38
923,37
924,37
925,37
926,37
927,37
928,37
929,36
930,37
931,37
932,37
933,37
934,37
935,37
936,37
937,37
938,36
939,37
940,35
941,36
942,35
943,34
944,35
945,34
946,34
947,33
948,33
949,33
950,33
951,32
952,33
953,32
954,33
955,32
956,33
957,33
958,35
959,37
960,41
961,46
962,55
963,66
964,82
965,100
966,120
967,142
968,163
969,183
970,200
971,215
972,227
973,236
974,241
975,243
976,242
977,240
978,235
979,230
980,223
981,217
982,210
983,203
984,198
985,191
986,186
987,181
988,176
989,172
990,168
991,163
992,160
993,156
994,153
995,150
996,147
997,145
998,143
999,141
1000,139
1001,138
1002,137
1003,136
1004,136
1005,135
1006,134
1007,134
1008,133
1009,131
1010,130
1011,128
1012,126
1013,124
1014,121
1015,118
1016,116
1017,112
1018,110
1019,108
1020,106
1021,104
1022,103
1023,102
1024,101
1025,102
1026,101
1027,102
1028,102
1029,102
1030,104
1031,105
1032,106
1033,107
1034,108
1035,109
1036,110
1037,110
1038,111
1039,111
1040,111
1041,110
1042,110
1043,109
1044,108
1045,106
1046,105
1047,103
1048,102
1049,99
1050,98
1051,96
1052,94
1053,92
1054,90
1055,88
1056,86
1057,84
1058,82
1059,79
1060,78
1061,75
1062,74
1063,72
1064,70
1065,68
1066,67
1067,65
1068,64
1069,62
1070,61
1071,60
1072,58
1073,58
1074,56
1075,55
1076,54
1077,53
1078,52
1079,51
1080,50
1081,49
1082,48
1083,47
1084,47
1085,46
1086,46
1087,45
1088,44
1089,44
1090,43
1091,43
1092,42
1093,42
1094,42
1095,41
1096,41
1097,41
1098,41
1099,40
1100,40
1101,40
1102,39
1103,39
1104,39
1105,38
1106,38
1107,37
1108,37
1109,37
1110,36
1111,36
1112,35
1113,34
1114,34
1115,33
1116,33
1117,32
1118,32
1119,31
1120,30
1121,30
1122,29
1123,29
1124,29
1125,29
1126,28
1127,28
1128,28
1129,28
1130,29
1131,29
1132,30
1133,33
1134,36
1135,42
1136,51
1137,62
1138,78
1139,96
1140,116
1141,137
1142,158
1143,177
1144,195
1145,209
1146,221
1147,230
1148,235
1149,237
1150,237
1151,234
1152,229
1153,223
1154,217
1155,211
1156,204
1157,198
1158,192
1159,186
1160,181
1161,176
1162,171
1163,166
1164,162
1165,157
1166,154
1167,150
1168,147
1169,144
1170,141
1171,138
