运动学片段,车辆编号,加速时间(s),减速时间(s),怠速时间(s),匀速时间(s),行停时间比例,行驶距离(m),最大速度(m/s),平均速度(m/s),平均行驶速度(m/s),速度标准差,最大加速度(m/s^2),平均加速度(m/s^2),最大减速度(m/s^2),平均减速度(m/s^2),加速度标准差,怠速时间比,加速时间比,减速时间比,匀速时间比,平均发动机转速,平均扭矩百分比,平均发动机负荷百分比
0,1,26,18,8,16,46.0,131.0367812343215,4.833333333333333,1.927011488740022,2.183946353905358,1.446204445673929,1.25,0.4252136752136752,-1.861111111111111,-0.5447530864197528,0.23780428984530325,0.11764705882352941,0.38235294117647056,0.2647058823529412,0.23529411764705882,896.4264705882352,19.970588235294116,25.058823529411764
1,1,111,86,97,75,197.77319587628867,2728.9742961840825,15.694444444444445,7.39559429860185,10.03299373597089,5.126168085321867,1.0833333333333333,0.382132132132132,-2.1944444444444438,-0.4941860465116279,0.22656591291205844,0.26287262872628725,0.3008130081300813,0.23306233062330622,0.2032520325203252,1191.4254742547425,24.24932249322493,29.59891598915989
2,1,48,34,24,13,82.54166666666667,698.9392887884817,12.555555555555555,5.873439401583879,7.357255671457702,3.9299962087926414,1.1944444444444444,0.4438657407407409,-2.2222222222222223,-0.6160130718954248,0.27035746318601456,0.20168067226890757,0.40336134453781514,0.2857142857142857,0.1092436974789916,1097.0,22.689075630252102,28.218487394957982
3,1,61,41,73,43,102.58904109589041,1670.4985124353955,15.277777777777779,7.6628372130064015,11.520679396106175,6.319661739488328,1.6944444444444444,0.37841530054644834,-1.8333333333333333,-0.5677506775067752,0.268193674337635,0.3348623853211009,0.2798165137614679,0.18807339449541285,0.19724770642201836,1193.2522935779816,24.325688073394495,29.8302752293578
4,1,51,35,34,50,87.47058823529412,1886.486590097301,19.083333333333332,11.09697994174883,13.871224927186036,7.105976446112366,2.2222222222222223,0.47222222222222254,-2.3055555555555545,-0.6785714285714284,0.39333745674389253,0.2,0.3,0.20588235294117646,0.29411764705882354,1390.6529411764707,29.794117647058822,35.78823529411765
5,1,92,54,40,34,146.85,1833.0485446228608,18.194444444444443,8.332038839194823,10.18360302568256,5.525111006529708,1.4722222222222225,0.42270531400966194,-3.1944444444444446,-0.7227366255144035,0.2727758003582422,0.18181818181818182,0.41818181818181815,0.24545454545454545,0.15454545454545454,1319.1,29.245454545454546,35.42272727272727
6,1,186,105,53,91,292.7169811320755,6127.284637752576,22.63888888888889,14.085711810925462,16.04001214071355,6.663853786623662,1.1388888888888893,0.38903823178016733,-2.7500000000000004,-0.5687063875469673,0.23316290128508016,0.12183908045977011,0.42758620689655175,0.2413793103448276,0.20919540229885059,1457.6620689655172,33.00459770114943,39.804597701149426
7,1,81,44,46,25,125.54347826086956,1615.6282948471382,16.916666666666668,8.243001504322134,10.770855298980921,5.733692811269871,3.4722222222222223,0.4713648834019204,-2.2500000000000004,-0.8775252525252525,0.4124058879804695,0.23469387755102042,0.413265306122449,0.22448979591836735,0.12755102040816327,1283.734693877551,27.6734693877551,33.44897959183673
8,1,35,25,53,9,60.16981132075472,355.9680833160847,9.0,2.9177711747220054,5.158957729218619,3.1815998404788783,0.916666666666667,0.4500000000000001,-2.361111111111111,-0.6277777777777778,0.22398113425215488,0.4344262295081967,0.28688524590163933,0.20491803278688525,0.07377049180327869,964.844262295082,20.19672131147541,25.352459016393443
9,1,53,40,48,16,93.33333333333333,1048.6900349721295,14.86111111111111,6.679554362879806,9.621009495157152,5.5518129931296505,1.9166666666666667,0.4423480083857443,-2.166666666666666,-0.5729166666666669,0.3341991313821774,0.3057324840764331,0.3375796178343949,0.25477707006369427,0.10191082802547771,1173.9108280254777,25.222929936305732,30.89171974522293
