age,workClass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
39,6,77516,4,13,5,10,0,1,1,2174,0,40,3,0
50,0,83311,4,13,4,9,3,1,1,0,0,13,3,0
38,2,215646,11,9,1,1,0,1,1,0,0,40,3,0
53,2,234721,5,7,4,1,3,2,1,0,0,40,3,0
28,2,338409,4,13,4,6,1,2,0,0,0,40,17,0
37,2,284582,9,14,4,9,1,1,0,0,0,40,3,0
49,2,160187,15,5,2,5,0,2,0,0,0,16,0,0
52,0,209642,11,9,4,9,3,1,1,0,0,45,3,1
31,2,45781,9,14,5,6,0,1,0,14084,0,50,3,1
42,2,159449,4,13,4,9,3,1,1,5178,0,40,3,1
37,2,280464,2,10,4,9,3,2,1,0,0,80,3,1
30,6,141297,4,13,4,6,3,4,1,0,0,40,14,1
23,2,122272,4,13,5,10,4,1,0,0,0,30,3,0
32,2,205019,8,12,5,7,0,2,1,0,0,50,3,0
40,2,121772,3,11,4,13,3,4,1,0,0,40,3,1
34,2,245487,1,4,4,2,3,3,1,0,0,45,34,0
25,0,176756,11,9,5,0,4,1,1,0,0,35,3,0
32,2,186824,11,9,5,4,2,1,1,0,0,40,3,0
38,2,28887,5,7,4,7,3,1,1,0,0,50,3,0
43,0,292175,9,14,1,9,2,1,0,0,0,45,3,1
40,2,193524,10,16,4,6,3,1,1,0,0,60,3,1
54,2,302146,11,9,3,5,2,2,0,0,0,20,3,0
35,1,76845,15,5,4,0,3,2,1,0,0,40,3,0
43,2,117037,5,7,4,2,3,1,1,0,2042,40,3,0
59,2,109015,11,9,1,8,2,1,0,0,0,40,3,0
56,5,216851,4,13,4,8,3,1,1,0,0,40,3,1
19,2,168294,11,9,5,13,4,1,1,0,0,40,3,0
54,2,180211,2,10,4,13,3,4,1,0,0,60,21,1
39,2,367260,11,9,1,9,0,1,1,0,0,80,3,0
49,2,193366,11,9,4,13,3,1,1,0,0,40,3,0
23,5,190709,8,12,5,3,0,1,1,0,0,52,3,0
20,2,266015,2,10,5,7,4,2,1,0,0,44,3,0
45,2,386940,4,13,1,9,4,1,1,0,1408,40,3,0
30,1,59951,2,10,4,10,4,1,1,0,0,40,3,0
