iter	MultiClass
0	1.380913432
1	1.376174452
2	1.37152344
3	1.367278893
4	1.362832427
5	1.358571106
6	1.354217085
7	1.349928289
8	1.345700689
9	1.341789735
10	1.337790119
11	1.33418989
12	1.330382898
13	1.326880932
14	1.323189575
15	1.320004423
16	1.316424094
17	1.313223097
18	1.309774209
19	1.308187373
20	1.304933939
21	1.301901898
22	1.298842317
23	1.295549416
24	1.292499433
25	1.289987266
26	1.287567551
27	1.284522665
28	1.28187445
29	1.279199971
30	1.276629527
31	1.274004726
32	1.271347284
33	1.269037007
34	1.266387387
35	1.263978489
36	1.261656742
37	1.25951285
38	1.257139309
39	1.255185732
40	1.252932495
41	1.25061399
42	1.248451964
43	1.246307684
44	1.244253191
45	1.242170887
46	1.239983204
47	1.238068522
48	1.23627391
49	1.234422639
50	1.23267107
51	1.230943583
52	1.229137982
53	1.227532325
54	1.225944155
55	1.224240084
56	1.222525717
57	1.220585301
58	1.219026016
59	1.217325065
60	1.215657483
61	1.214030116
62	1.212310615
63	1.21072986
64	1.20922985
65	1.207758999
66	1.206500113
67	1.205374501
68	1.20404197
69	1.202548164
70	1.201348649
71	1.199943164
72	1.19832605
73	1.196999662
74	1.195699635
75	1.194631723
76	1.193304169
77	1.192118462
78	1.190898283
79	1.189508096
80	1.188271859
81	1.187062788
82	1.186063719
83	1.18478867
84	1.18362546
85	1.182435378
86	1.181447698
87	1.180283723
88	1.179313117
89	1.178110004
90	1.177049507
91	1.175889123
92	1.174915429
93	1.173900515
94	1.172760172
95	1.17175223
96	1.170736945
97	1.169835952
98	1.168873519
99	1.167829737
100	1.166938864
101	1.165953483
102	1.165116486
103	1.164154479
104	1.163299092
105	1.162546227
106	1.161607097
107	1.160807519
108	1.159720655
109	1.159255831
110	1.158512898
111	1.157695309
112	1.156950868
113	1.15616733
114	1.15541958
115	1.154546169
116	1.153646306
117	1.152856386
118	1.152194346
119	1.151382362
120	1.150693033
121	1.149923879
122	1.149093603
123	1.148447154
124	1.147720172
125	1.147116637
126	1.14660642
127	1.146050855
128	1.145309512
129	1.144639798
130	1.144070632
131	1.14360083
