Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.18,0.28,0.3,0.23
1,0.18,0.23,0.35,0.24
2,0.19,0.28,0.33,0.2
3,0.18,0.23,0.36,0.23
4,0.19,0.26,0.26,0.3
5,0.18,0.22,0.4,0.2
6,0.18,0.23,0.32,0.28
7,0.19,0.22,0.41,0.19
8,0.21,0.25,0.21,0.33
9,0.18,0.24,0.38,0.21
10,0.17,0.25,0.44,0.15
11,0.17,0.24,0.35,0.24
12,0.18,0.21,0.44,0.17
13,0.17,0.2,0.44,0.18
14,0.19,0.26,0.32,0.24
15,0.19,0.24,0.36,0.22
16,0.2,0.25,0.32,0.23
17,0.17,0.22,0.38,0.23
18,0.22,0.23,0.25,0.3
19,0.19,0.24,0.36,0.2
20,0.17,0.16,0.39,0.28
21,0.19,0.22,0.39,0.2
22,0.14,0.24,0.17,0.45
23,0.18,0.23,0.38,0.22
24,0.13,0.26,0.22,0.4
25,0.17,0.24,0.35,0.24
26,0.18,0.28,0.31,0.23
27,0.17,0.22,0.37,0.23
28,0.19,0.27,0.31,0.23
29,0.18,0.23,0.36,0.23
30,0.14,0.19,0.39,0.28
31,0.16,0.24,0.35,0.25
32,0.16,0.17,0.58,0.09
33,0.18,0.23,0.36,0.23
34,0.16,0.19,0.55,0.1
35,0.18,0.23,0.38,0.22
36,0.1,0.23,0.31,0.36
37,0.18,0.21,0.39,0.22
38,0.17,0.17,0.53,0.13
39,0.18,0.23,0.36,0.23
40,0.21,0.25,0.35,0.19
41,0.2,0.24,0.36,0.21
42,0.17,0.21,0.48,0.14
43,0.19,0.24,0.38,0.2
44,0.23,0.23,0.34,0.2
45,0.18,0.21,0.41,0.19
46,0.29,0.28,0.23,0.2
47,0.17,0.22,0.36,0.25
48,0.18,0.28,0.33,0.21
49,0.16,0.23,0.33,0.27
50,0.16,0.17,0.57,0.1
51,0.17,0.22,0.37,0.23
52,0.13,0.15,0.66,0.06
53,0.16,0.2,0.42,0.22
54,0.15,0.18,0.51,0.16
55,0.17,0.24,0.34,0.25
56,0.15,0.16,0.65,0.04
57,0.17,0.25,0.32,0.26
58,0.14,0.18,0.63,0.05
59,0.18,0.24,0.34,0.23
60,0.22,0.22,0.45,0.11
61,0.16,0.23,0.38,0.22
62,0.21,0.22,0.37,0.2
63,0.18,0.23,0.39,0.2
64,0.15,0.24,0.28,0.32
65,0.19,0.25,0.36,0.2
66,0.17,0.25,0.4,0.18
67,0.18,0.24,0.36,0.22
68,0.19,0.23,0.35,0.23
69,0.21,0.25,0.33,0.2
70,0.11,0.21,0.25,0.43
71,0.2,0.21,0.41,0.19
72,0.16,0.22,0.27,0.35
73,0.17,0.24,0.36,0.24
74,0.19,0.17,0.51,0.12
75,0.19,0.26,0.33,0.22
76,0.13,0.2,0.31,0.36
77,0.17,0.22,0.38,0.22
78,0.19,0.18,0.52,0.12
79,0.19,0.24,0.35,0.22
80,0.21,0.26,0.32,0.21
81,0.17,0.23,0.37,0.22
82,0.17,0.26,0.33,0.24
83,0.17,0.23,0.36,0.24
84,0.19,0.18,0.41,0.23
85,0.16,0.2,0.39,0.26
86,0.23,0.27,0.31,0.18
87,0.18,0.25,0.34,0.24
88,0.19,0.29,0.3,0.22
89,0.19,0.25,0.34,0.23
90,0.19,0.26,0.33,0.22
91,0.18,0.24,0.36,0.22
92,0.14,0.23,0.29,0.34
93,0.18,0.24,0.34,0.25
94,0.18,0.22,0.25,0.35
95,0.17,0.23,0.38,0.22
96,0.17,0.2,0.4,0.24
97,0.17,0.22,0.4,0.2
98,0.17,0.28,0.31,0.24
99,0.17,0.22,0.38,0.22
100,0.15,0.16,0.52,0.17
101,0.19,0.22,0.36,0.22
102,0.2,0.22,0.42,0.17
103,0.17,0.23,0.39,0.21
104,0.2,0.25,0.33,0.22
105,0.19,0.2,0.4,0.21
106,0.14,0.15,0.63,0.08
107,0.18,0.23,0.36,0.23
108,0.19,0.25,0.36,0.19
109,0.17,0.23,0.38,0.22
110,0.17,0.24,0.41,0.19
111,0.19,0.24,0.36,0.22
112,0.17,0.32,0.21,0.31
113,0.15,0.22,0.38,0.24
114,0.18,0.29,0.27,0.26
115,0.19,0.24,0.39,0.18
116,0.18,0.2,0.51,0.1
117,0.18,0.25,0.32,0.25
118,0.15,0.19,0.58,0.08
119,0.17,0.22,0.38,0.23
